,TICKER,Security
305,MDLZ,Mondelez International
306,MON,Monsanto Co.
307,MNST,Monster Beverage
308,MCO,Moody's Corp
309,MS,Morgan Stanley
310,MOS,The Mosaic Company
311,MSI,Motorola Solutions Inc.
312,MUR,Murphy Oil
313,MYL,Mylan N.V.
314,NDAQ,NASDAQ OMX Group
315,NOV,National Oilwell Varco Inc.
316,NAVI,Navient
317,NTAP,NetApp
318,NFLX,Netflix Inc.
319,NWL,Newell Rubbermaid Co.
320,NFX,Newfield Exploration Co
321,NEM,Newmont Mining Corp. (Hldg. Co.)
322,NWSA,News Corp. Class A
323,NWS,News Corp. Class B
324,NEE,NextEra Energy
325,NLSN,Nielsen Holdings
326,NKE,Nike
327,NI,NiSource Inc.
328,NBL,Noble Energy Inc
329,JWN,Nordstrom
330,NSC,Norfolk Southern Corp.
331,NTRS,Northern Trust Corp.
332,NOC,Northrop Grumman Corp.
333,NRG,NRG Energy
334,NUE,Nucor Corp.
335,NVDA,Nvidia Corporation
336,ORLY,O'Reilly Automotive
337,OXY,Occidental Petroleum
338,OMC,Omnicom Group
339,OKE,ONEOK
340,ORCL,Oracle Corp.
341,OI,Owens-Illinois Inc
342,PCAR,PACCAR Inc.
343,PH,Parker-Hannifin
344,PDCO,Patterson Companies
345,PAYX,Paychex Inc.
346,PYPL,PayPal
347,PNR,Pentair Ltd.
348,PBCT,People's United Financial
349,POM,Pepco Holdings Inc.
350,PEP,PepsiCo Inc.
351,PKI,PerkinElmer
352,PRGO,Perrigo
353,PFE,Pfizer Inc.
354,PCG,PG&E Corp.
355,PM,Philip Morris International
356,PSX,Phillips 66
357,PNW,Pinnacle West Capital
358,PXD,Pioneer Natural Resources
359,PBI,Pitney-Bowes
360,PCL,Plum Creek Timber Co.
361,PNC,PNC Financial Services
362,RL,Polo Ralph Lauren Corp.
363,PPG,PPG Industries
364,PPL,PPL Corp.
365,PX,Praxair Inc.
366,PCP,Precision Castparts
367,PCLN,Priceline.com Inc
368,PFG,Principal Financial Group
369,PG,Procter & Gamble
370,PGR,Progressive Corp.
371,PLD,Prologis
372,PRU,Prudential Financial
373,PEG,Public Serv. Enterprise Inc.
374,PSA,Public Storage
375,PHM,Pulte Homes Inc.
376,PVH,PVH Corp.
377,QRVO,Qorvo
378,PWR,Quanta Services Inc.
379,QCOM,QUALCOMM Inc.
380,DGX,Quest Diagnostics
381,RRC,Range Resources Corp.
382,RTN,Raytheon Co.
383,O,Realty Income Corporation
384,RHT,Red Hat Inc.
385,REGN,Regeneron
386,RF,Regions Financial Corp.
387,RSG,Republic Services Inc
388,RAI,Reynolds American Inc.
389,RHI,Robert Half International
390,ROK,Rockwell Automation Inc.
391,COL,Rockwell Collins
392,ROP,Roper Industries
393,ROST,Ross Stores
394,RCL,Royal Caribbean Cruises Ltd
395,R,Ryder System
396,CRM,Salesforce.com
397,SNDK,SanDisk Corporation
398,SCG,SCANA Corp
399,SLB,Schlumberger Ltd.
400,SNI,Scripps Networks Interactive Inc.
401,STX,Seagate Technology
402,SEE,Sealed Air Corp.(New)
403,SRE,Sempra Energy
404,SHW,Sherwin-Williams
405,SIG,Signet Jewelers
406,SPG,Simon Property Group Inc
407,SWKS,Skyworks Solutions
408,SLG,SL Green Realty
409,SJM,Smucker (J.M.)
410,SNA,Snap-On Inc.
411,SO,Southern Co.
412,LUV,Southwest Airlines
413,SWN,Southwestern Energy
414,SE,Spectra Energy Corp.
415,STJ,St Jude Medical
416,SWK,Stanley Black & Decker
417,SPLS,Staples Inc.
418,SBUX,Starbucks Corp.
419,HOT,Starwood Hotels & Resorts
420,STT,State Street Corp.
421,SRCL,Stericycle Inc
422,SYK,Stryker Corp.
423,STI,SunTrust Banks
424,SYMC,Symantec Corp.
425,SYF,Synchrony Financial
426,SYY,Sysco Corp.
427,TROW,T. Rowe Price Group
428,TGT,Target Corp.
429,TEL,TE Connectivity Ltd.
